2026-04-22 17:28:38,296 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: Large Language Models, falling back to LLM
2026-04-22 17:28:38,297 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: Generative AI, falling back to LLM
2026-04-22 17:28:38,297 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: Technical Leadership, falling back to LLM
2026-04-22 17:28:38,298 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: AI/ML Models, falling back to LLM
2026-04-22 17:28:38,298 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: Communication, falling back to LLM
2026-04-22 17:28:45,149 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: Conversational AI, falling back to LLM
2026-04-22 17:28:45,150 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: Gen AI Solutions, falling back to LLM
2026-04-22 17:28:45,152 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: ML Frameworks, falling back to LLM
2026-04-22 17:28:45,153 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: Mentoring, falling back to LLM
2026-04-22 17:28:45,154 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: Model Fine-tuning, falling back to LLM
2026-04-22 17:28:52,053 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: Speech LLMs, falling back to LLM
2026-04-22 17:28:52,055 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: Text LLMs, falling back to LLM
2026-04-22 17:28:52,056 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: Video LLMs, falling back to LLM
2026-04-22 17:28:52,057 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: Vision LLMs, falling back to LLM
2026-04-22 17:28:52,057 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: API Integration, falling back to LLM
2026-04-22 17:28:56,544 | WARNING | app.services.learning.path_generator | No catalog resources found for skill: Model Deployment, falling back to LLM
2026-04-22 17:28:59,165 | INFO | httpx | HTTP Request: HEAD https://www.udemy.com/course/restful-web-services-introduction/ "HTTP/1.1 403 Forbidden"
2026-04-22 17:28:59,293 | INFO | httpx | HTTP Request: GET https://www.udemy.com/course/restful-web-services-introduction/ "HTTP/1.1 403 Forbidden"
2026-04-22 17:28:59,361 | INFO | httpx | HTTP Request: HEAD https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops "HTTP/1.1 301 Moved Permanently"
2026-04-22 17:28:59,428 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/docs "HTTP/1.1 200 OK"
2026-04-22 17:28:59,429 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/docs/inference/index "HTTP/1.1 404 Not Found"
2026-04-22 17:28:59,465 | INFO | httpx | HTTP Request: HEAD https://www.coursera.org/learn/leading-technical-teams "HTTP/1.1 404 Not Found"
2026-04-22 17:28:59,476 | INFO | httpx | HTTP Request: HEAD https://www.coursera.org/specializations/ai-machine-learning "HTTP/1.1 404 Not Found"
2026-04-22 17:28:59,819 | INFO | httpx | HTTP Request: HEAD https://learn.microsoft.com/en-us/training/modules/responsible-ai-practices/ "HTTP/1.1 404 Not Found"
2026-04-22 17:28:59,825 | INFO | httpx | HTTP Request: HEAD https://www.edx.org/learn/leadership/purdue-university-effective-coaching-skills-for-leaders "HTTP/1.1 404 Not Found"
2026-04-22 17:28:59,826 | INFO | httpx | HTTP Request: HEAD https://www.coursera.org/learn/ai-engineering-with-tensorflow "HTTP/1.1 404 Not Found"
2026-04-22 17:28:59,904 | INFO | httpx | HTTP Request: HEAD https://www.coursera.org/learn/mentoring "HTTP/1.1 404 Not Found"
2026-04-22 17:28:59,914 | INFO | httpx | HTTP Request: HEAD https://hbr.org/2019/07/how-to-give-and-receive-feedback-effectively "HTTP/1.1 404 Not Found"
2026-04-22 17:28:59,977 | INFO | httpx | HTTP Request: HEAD https://www.udemy.com/course/kubernetes-for-ai-and-ml/ "HTTP/1.1 403 Forbidden"
2026-04-22 17:29:00,040 | INFO | httpx | HTTP Request: HEAD https://www.linkedin.com/learning/the-art-of-mentoring-how-to-guide-and-inspire-others "HTTP/1.1 404 Not Found"
2026-04-22 17:29:00,107 | INFO | httpx | HTTP Request: GET https://www.udemy.com/course/kubernetes-for-ai-and-ml/ "HTTP/1.1 403 Forbidden"
2026-04-22 17:29:00,194 | INFO | httpx | HTTP Request: HEAD https://www.deeplearning.ai/courses/prompt-engineering-for-developers/ "HTTP/1.1 404 Not Found"
2026-04-22 17:29:00,198 | INFO | httpx | HTTP Request: HEAD https://www.deeplearning.ai/courses/llms-application-evaluation-development/ "HTTP/1.1 404 Not Found"
2026-04-22 17:29:00,218 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/docs/transformers/index "HTTP/1.1 200 OK"
2026-04-22 17:29:00,298 | INFO | httpx | HTTP Request: HEAD https://cloud.google.com/learn/training/speech-recognition-synthesis-fundamentals "HTTP/1.1 404 Not Found"
2026-04-22 17:29:01,082 | INFO | httpx | HTTP Request: HEAD https://www.coursera.org/learn/generative-ai-with-large-language-models "HTTP/1.1 404 Not Found"
2026-04-22 17:29:01,084 | INFO | httpx | HTTP Request: HEAD https://github.com/huggingface/transformers "HTTP/1.1 200 OK"
2026-04-22 17:29:01,086 | INFO | httpx | HTTP Request: HEAD https://www.udemy.com/course/python-for-machine-learning-and-data-science-masterclass/ "HTTP/1.1 403 Forbidden"
2026-04-22 17:29:01,087 | INFO | httpx | HTTP Request: HEAD https://www.coursera.org/learn/llmops-machine-learning-operations-for-llms "HTTP/1.1 404 Not Found"
2026-04-22 17:29:01,088 | INFO | httpx | HTTP Request: HEAD https://www.coursera.org/learn/generative-ai-with-llms "HTTP/1.1 200 OK"
2026-04-22 17:29:01,088 | INFO | httpx | HTTP Request: HEAD https://www.coursera.org/learn/introduction-to-machine-learning-in-production "HTTP/1.1 200 OK"
2026-04-22 17:29:01,177 | INFO | httpx | HTTP Request: HEAD https://www.deeplearning.ai/courses/generative-ai-with-large-language-models/ "HTTP/1.1 404 Not Found"
