2026-04-22 17:27:55,956 | INFO | app.services.llm.llm_client | llm_call: {'purpose': 'roadmap_subtopics', 'model': 'gemini-2.5-flash-lite', 'prompt_chars': 3468, 'prompt_estimated_tokens': 867, 'ok': True, 'response_chars': 2300, 'response_estimated_tokens': 575, 'llm_ms': 3219.0, 'total_ms': 3219.0, 'usage': {'prompt_token_count': 729, 'candidates_token_count': 655, 'total_token_count': 1384, 'cached_content_token_count': 0}}
2026-04-22 17:27:59,594 | INFO | app.services.llm.llm_client | llm_call: {'purpose': 'roadmap_subtopics', 'model': 'gemini-2.5-flash-lite', 'prompt_chars': 3482, 'prompt_estimated_tokens': 870, 'ok': True, 'response_chars': 2733, 'response_estimated_tokens': 683, 'llm_ms': 3625.0, 'total_ms': 3625.0, 'usage': {'prompt_token_count': 727, 'candidates_token_count': 744, 'total_token_count': 1471, 'cached_content_token_count': 0}}
2026-04-22 17:28:02,236 | INFO | app.services.llm.llm_client | llm_call: {'purpose': 'roadmap_subtopics', 'model': 'gemini-2.5-flash-lite', 'prompt_chars': 3466, 'prompt_estimated_tokens': 866, 'ok': True, 'response_chars': 2201, 'response_estimated_tokens': 550, 'llm_ms': 2640.0, 'total_ms': 2640.0, 'usage': {'prompt_token_count': 731, 'candidates_token_count': 579, 'total_token_count': 1310, 'cached_content_token_count': 0}}
2026-04-22 17:28:05,174 | INFO | app.services.llm.llm_client | llm_call: {'purpose': 'roadmap_subtopics', 'model': 'gemini-2.5-flash-lite', 'prompt_chars': 3466, 'prompt_estimated_tokens': 866, 'ok': True, 'response_chars': 2300, 'response_estimated_tokens': 575, 'llm_ms': 2922.0, 'total_ms': 2938.0, 'usage': {'prompt_token_count': 723, 'candidates_token_count': 611, 'total_token_count': 1334, 'cached_content_token_count': 0}}
2026-04-22 17:28:08,457 | INFO | app.services.llm.llm_client | llm_call: {'purpose': 'roadmap_subtopics', 'model': 'gemini-2.5-flash-lite', 'prompt_chars': 3476, 'prompt_estimated_tokens': 869, 'ok': True, 'response_chars': 2571, 'response_estimated_tokens': 642, 'llm_ms': 3281.0, 'total_ms': 3281.0, 'usage': {'prompt_token_count': 729, 'candidates_token_count': 663, 'total_token_count': 1392, 'cached_content_token_count': 0}}
2026-04-22 17:28:14,308 | INFO | app.services.llm.llm_client | llm_call: {'purpose': 'roadmap_subtopics', 'model': 'gemini-2.5-flash-lite', 'prompt_chars': 3474, 'prompt_estimated_tokens': 868, 'ok': True, 'response_chars': 2985, 'response_estimated_tokens': 746, 'llm_ms': 5844.0, 'total_ms': 5844.0, 'usage': {'prompt_token_count': 729, 'candidates_token_count': 789, 'total_token_count': 1518, 'cached_content_token_count': 0}}
2026-04-22 17:28:15,978 | INFO | app.services.llm.llm_client | llm_call: {'purpose': 'roadmap_subtopics', 'model': 'gemini-2.5-flash-lite', 'prompt_chars': 3468, 'prompt_estimated_tokens': 867, 'ok': True, 'response_chars': 1938, 'response_estimated_tokens': 484, 'llm_ms': 1671.0, 'total_ms': 1671.0, 'usage': {'prompt_token_count': 729, 'candidates_token_count': 557, 'total_token_count': 1286, 'cached_content_token_count': 0}}
2026-04-22 17:28:19,079 | INFO | app.services.llm.llm_client | llm_call: {'purpose': 'roadmap_subtopics', 'model': 'gemini-2.5-flash-lite', 'prompt_chars': 3460, 'prompt_estimated_tokens': 865, 'ok': True, 'response_chars': 2499, 'response_estimated_tokens': 624, 'llm_ms': 3094.0, 'total_ms': 3094.0, 'usage': {'prompt_token_count': 727, 'candidates_token_count': 679, 'total_token_count': 1406, 'cached_content_token_count': 0}}
2026-04-22 17:28:21,953 | INFO | app.services.llm.llm_client | llm_call: {'purpose': 'roadmap_subtopics', 'model': 'gemini-2.5-flash-lite', 'prompt_chars': 3476, 'prompt_estimated_tokens': 869, 'ok': True, 'response_chars': 2783, 'response_estimated_tokens': 695, 'llm_ms': 2875.0, 'total_ms': 2875.0, 'usage': {'prompt_token_count': 731, 'candidates_token_count': 778, 'total_token_count': 1509, 'cached_content_token_count': 0}}
2026-04-22 17:28:24,029 | INFO | app.services.llm.llm_client | llm_call: {'purpose': 'roadmap_subtopics', 'model': 'gemini-2.5-flash-lite', 'prompt_chars': 3464, 'prompt_estimated_tokens': 866, 'ok': True, 'response_chars': 2488, 'response_estimated_tokens': 622, 'llm_ms': 2078.0, 'total_ms': 2078.0, 'usage': {'prompt_token_count': 729, 'candidates_token_count': 683, 'total_token_count': 1412, 'cached_content_token_count': 0}}
2026-04-22 17:28:25,823 | INFO | app.services.llm.llm_client | llm_call: {'purpose': 'roadmap_subtopics', 'model': 'gemini-2.5-flash-lite', 'prompt_chars': 3460, 'prompt_estimated_tokens': 865, 'ok': True, 'response_chars': 2308, 'response_estimated_tokens': 577, 'llm_ms': 1797.0, 'total_ms': 1797.0, 'usage': {'prompt_token_count': 729, 'candidates_token_count': 673, 'total_token_count': 1402, 'cached_content_token_count': 0}}
